primaryTitle,startYear,averageRating,numVotes,primaryTitle_clean,title,date_added,release_year,title_clean
Bobby Kennedy for President,2018,8.1,2174,bobby kennedy for president,Bobby Kennedy for President,2018-04-27,2018,bobby kennedy for president
Cycle,2015,7.5,2169,cycle,Cycle,2020-09-10,2018,cycle
Silicon Cowboys,2016,6.9,2169,silicon cowboys,Silicon Cowboys,2017-04-01,2016,silicon cowboys
Man to Man,2005,6.5,2165,man to man,Man to Man,2017-06-10,2017,man to man
The Heretics,2017,4.8,2164,the heretics,The Heretics,2019-09-04,2017,the heretics
Christmas with a Prince,2018,5.3,2162,christmas with a prince,Christmas with a Prince,2020-11-04,2018,christmas with a prince
Hawaizaada,2015,5.5,2157,hawaizaada,Hawaizaada,2020-11-19,2015,hawaizaada
Elite Short Stories: Nadia Guzmán,2021,6.2,2156,elite short stories: nadia guzmán,Elite Short Stories: Nadia Guzmán,2021-06-15,2021,elite short stories: nadia guzmán
Heroes Wanted,2016,4.6,2154,heroes wanted,Heroes Wanted,2017-02-01,2016,heroes wanted
The Tenth Man,1988,6.9,2154,the tenth man,The Tenth Man,2017-04-01,2016,the tenth man
Yes or No,2010,6.7,2153,yes or no,Yes or No,2018-12-06,2010,yes or no
The Next Skin,2016,6.1,2149,the next skin,The Next Skin,2017-05-01,2016,the next skin
Some Freaks,2016,6.2,2148,some freaks,Some Freaks,2017-12-18,2017,some freaks
The Chosen Ones,2015,6.7,2144,the chosen ones,The Chosen Ones,2016-05-08,2015,the chosen ones
Live Up to Your Name,2017,8.0,2144,live up to your name,Live Up To Your Name,2020-01-01,2017,live up to your name
Marc Maron: Too Real,2017,7.2,2141,marc maron: too real,Marc Maron: Too Real,2017-09-05,2017,marc maron: too real
Wanda Sykes: Not Normal,2019,7.3,2135,wanda sykes: not normal,Wanda Sykes: Not Normal,2019-05-21,2019,wanda sykes: not normal
Chris Tucker Live,2015,6.3,2135,chris tucker live,Chris Tucker Live,2015-07-10,2015,chris tucker live
The Cabin with Bert Kreischer,2020,6.9,2134,the cabin with bert kreischer,The Cabin with Bert Kreischer,2020-10-13,2020,the cabin with bert kreischer
Countdown: Inspiration4 Mission to Space,2021,7.8,2133,countdown: inspiration4 mission to space,Countdown: Inspiration4 Mission to Space,2021-09-06,2021,countdown: inspiration4 mission to space
Aurora,2010,6.5,2133,aurora,Aurora,2020-03-04,2010,aurora
The Cuba Libre Story,2015,7.6,2132,the cuba libre story,The Cuba Libre Story,2016-12-08,2015,the cuba libre story
Reaction,2008,8.6,2132,reaction,Reaction,2019-06-20,2011,reaction
Deidra & Laney Rob a Train,2017,6.0,2132,deidra & laney rob a train,Deidra & Laney Rob a Train,2017-03-17,2017,deidra & laney rob a train
Hamara Dil Aapke Paas Hai,2000,5.5,2131,hamara dil aapke paas hai,Hamara Dil Aapke Paas Hai,2018-03-01,2000,hamara dil aapke paas hai
Super Me,2019,5.8,2129,super me,Super Me,2021-05-08,2021,super me
Rapture,1996,7.1,2127,rapture,Rapture,2018-03-30,2018,rapture
Patton Oswalt: Talking for Clapping,2016,6.8,2126,patton oswalt: talking for clapping,Patton Oswalt: Talking for Clapping,2016-04-22,2016,patton oswalt: talking for clapping
The River Runner,2021,6.9,2121,the river runner,The River Runner,2021-08-25,2021,the river runner
Russell Peters: Almost Famous,2016,6.6,2118,russell peters: almost famous,Russell Peters: Almost Famous,2016-10-07,2016,russell peters: almost famous
What We Wanted,2020,5.9,2118,what we wanted,What We Wanted,2020-11-11,2020,what we wanted
Yamla Pagla Deewana 2,2013,3.5,2117,yamla pagla deewana 2,Yamla Pagla Deewana 2,2017-05-01,2013,yamla pagla deewana 2
Aiyyaa,2012,4.4,2109,aiyyaa,Aiyyaa,2020-07-05,2012,aiyyaa
Shot in the Dark,2017,7.9,2107,shot in the dark,Shot in the Dark,2017-11-17,2017,shot in the dark
A Dangerous Woman,1993,5.7,2107,a dangerous woman,A Dangerous Woman,2018-04-01,1993,a dangerous woman
The Three Deaths of Marisela Escobedo,2020,8.1,2106,the three deaths of marisela escobedo,The Three Deaths of Marisela Escobedo,2020-10-14,2020,the three deaths of marisela escobedo
A Very Country Christmas,2017,6.1,2105,a very country christmas,A Very Country Christmas,2020-11-15,2017,a very country christmas
Bangkok Traffic (Love) Story,2009,7.1,2101,bangkok traffic (love) story,Bangkok Traffic (Love) Story,2018-09-05,2009,bangkok traffic (love) story
Thus Spoke Kishibe Rohan,2019,7.5,2101,thus spoke kishibe rohan,Thus Spoke Kishibe Rohan,2021-02-18,2021,thus spoke kishibe rohan
Last Ferry,2019,5.0,2096,last ferry,Last Ferry,2020-03-11,2019,last ferry
Love Ni Bhavai,2017,8.2,2094,love ni bhavai,Love Ni Bhavai,2018-05-01,2017,love ni bhavai
Layla M.,2016,6.6,2093,layla m.,Layla M.,2018-03-23,2016,layla m.
Çarsi Pazar,2015,5.2,2092,çarsi pazar,Çarsi Pazar,2021-03-12,2015,çarsi pazar
Freedom at Midnight,2024,8.3,2092,freedom at midnight,Freedom at Midnight,2018-10-01,2018,freedom at midnight
Hard Lessons,2023,8.3,2090,hard lessons,Hard Lessons,2011-10-01,1986,hard lessons
Tales by Light,2015,8.2,2083,tales by light,Tales by Light,2021-07-06,2018,tales by light
Shararat,2003,7.5,2083,shararat,Shararat,2018-03-01,2002,shararat
The Last Shaman,2016,6.6,2081,the last shaman,The Last Shaman,2017-09-01,2016,the last shaman
Seis Manos,2019,7.1,2079,seis manos,Seis Manos,2019-10-03,2019,seis manos
The Great Magician,2011,5.9,2076,the great magician,The Great Magician,2019-05-11,2011,the great magician
Inuyasha the Movie 4: Fire on the Mystic Island,2004,7.1,2075,inuyasha the movie 4: fire on the mystic island,InuYasha the Movie 4: Fire on the Mystic Island,2021-09-15,2004,inuyasha the movie 4: fire on the mystic island
Monopoly (The Bank of Luck),2017,6.4,2075,monopoly (the bank of luck),Monopoly (The Bank Of Luck),2019-06-15,2017,monopoly (the bank of luck)
Mad World,2016,7.2,2073,mad world,Mad World,2018-09-20,2016,mad world
China Salesman,2017,2.7,2073,china salesman,China Salesman,2018-09-24,2017,china salesman
Print the Legend,2014,7.0,2072,print the legend,Print the Legend,2014-09-26,2014,print the legend
Sillu Karuppatti,2019,7.9,2072,sillu karuppatti,Sillu Karuppatti,2020-01-26,2019,sillu karuppatti
KD (A) Karuppudurai,2019,8.4,2070,kd (a) karuppudurai,KD (A) Karuppudurai,2020-01-21,2019,kd (a) karuppudurai
Brahman Naman,2016,5.5,2069,brahman naman,Brahman Naman,2016-07-06,2016,brahman naman
Classmates Minus,2020,7.1,2069,classmates minus,Classmates Minus,2021-02-20,2020,classmates minus
LA Originals,2020,7.2,2066,la originals,LA Originals,2020-04-10,2020,la originals
Street Flow,2019,6.4,2066,street flow,Street Flow,2019-10-13,2019,street flow
A Love So Beautiful,2020,7.2,2065,a love so beautiful,A Love So Beautiful,2020-12-28,2020,a love so beautiful
The American Barbecue Showdown,2020,7.1,2063,the american barbecue showdown,The American Barbecue Showdown,2020-09-18,2020,the american barbecue showdown
Nowhere Man,1995,8.3,2062,nowhere man,Nowhere Man,2019-10-31,2019,nowhere man
I'm in Love with a Church Girl,2013,4.2,2062,i'm in love with a church girl,I'm in Love with a Church Girl,2017-10-01,2013,i'm in love with a church girl
Don't Go Breaking My Heart,2011,6.5,2058,don't go breaking my heart,Don't Go Breaking My Heart,2018-12-01,2011,don't go breaking my heart
Theeram,2021,7.7,2056,theeram,Theeram,2018-07-01,2017,theeram
Prime Time,2021,5.2,2054,prime time,Prime Time,2021-06-30,2021,prime time
H,2002,5.8,2053,h,H,2020-09-01,2002,h
The Wishing Tree,1976,8.0,2051,the wishing tree,The Wishing Tree,2017-06-05,2017,the wishing tree
The Guide to the Perfect Family,2021,6.4,2051,the guide to the perfect family,The Guide to the Perfect Family,2021-07-14,2021,the guide to the perfect family
Rhythm + Flow,2019,7.5,2047,rhythm + flow,Rhythm + Flow,2019-10-09,2019,rhythm + flow
Al Hayba,2017,7.2,2045,al hayba,Al Hayba,2018-09-15,2017,al hayba
Why Are You Like This,2018,6.4,2044,why are you like this,Why Are You Like This,2021-06-19,2021,why are you like this
Tokyo Trial,2016,7.3,2041,tokyo trial,Tokyo Trial,2016-12-13,2017,tokyo trial
Killer Ratings,2019,7.5,2041,killer ratings,Killer Ratings,2019-05-31,2019,killer ratings
Iliza Shlesinger: Unveiled,2019,6.5,2040,iliza shlesinger: unveiled,Iliza Shlesinger: Unveiled,2019-11-19,2019,iliza shlesinger: unveiled
Fallet,2017,6.8,2036,fallet,Fallet,2018-04-01,2017,fallet
Terra,2015,8.3,2035,terra,Terra,2016-05-01,2015,terra
A.M.I.,2019,3.9,2034,a.m.i.,A.M.I.,2020-10-01,2019,a.m.i.
Hache,2019,6.5,2033,hache,Hache,2021-02-05,2021,hache
Zero Chill,2021,5.7,2030,zero chill,Zero Chill,2021-03-15,2021,zero chill
Losers,2019,7.6,2028,losers,Losers,2019-03-01,2019,losers
The Fear,1964,7.1,2027,the fear,The Fear,2017-03-31,2012,the fear
The Judgement,2021,7.3,2026,the judgement,The Judgement,2021-06-19,2018,the judgement
Apache: The Life of Carlos Tevez,2019,7.2,2026,apache: the life of carlos tevez,Apache: The Life of Carlos Tevez,2019-08-16,2019,apache: the life of carlos tevez
Either Me or My Auntie,2005,5.5,2025,either me or my auntie,Either Me Or My Auntie,2020-05-19,2006,either me or my auntie
Derren Brown: Sacrifice,2018,7.1,2024,derren brown: sacrifice,Derren Brown: Sacrifice,2018-10-19,2018,derren brown: sacrifice
Retablo,2017,7.5,2024,retablo,Retablo,2020-07-30,2017,retablo
Whitney Cummings: Can I Touch It?,2019,6.5,2023,whitney cummings: can i touch it?,Whitney Cummings: Can I Touch It?,2019-07-30,2019,whitney cummings: can i touch it?
Designated Survivor: 60 Days,2019,8.1,2022,designated survivor: 60 days,Designated Survivor: 60 Days,2019-07-02,2019,designated survivor: 60 days
Glitch Techs,2020,7.6,2016,glitch techs,Glitch Techs,2020-08-17,2020,glitch techs
Oh Darling Yeh Hai India,1995,4.0,2011,oh darling yeh hai india,Oh Darling Yeh Hai India,2017-06-01,1995,oh darling yeh hai india
The Irishman: In Conversation,2019,7.4,2010,the irishman: in conversation,The Irishman: In Conversation,2019-12-05,2019,the irishman: in conversation
ZZ Top: That Little Ol' Band from Texas,2019,7.5,2005,zz top: that little ol' band from texas,ZZ TOP: THAT LITTLE OL' BAND FROM TEXAS,2020-03-01,2019,zz top: that little ol' band from texas
"To Each, Her Own",2018,5.4,2005,"to each, her own","To Each, Her Own",2018-06-24,2018,"to each, her own"
S Is for Stanley,2015,6.9,2004,s is for stanley,S Is for Stanley,2017-06-15,2016,s is for stanley
I Called Him Morgan,2016,7.3,2001,i called him morgan,I Called Him Morgan,2017-07-24,2016,i called him morgan
Nang Nak,1999,6.5,2000,nang nak,Nang Nak,2019-01-05,1999,nang nak
Rajma Chawal,2018,5.7,1999,rajma chawal,Rajma Chawal,2018-11-30,2018,rajma chawal
Cold Case Files,1999,8.0,1998,cold case files,Cold Case Files,2019-09-15,2017,cold case files
Sangam,1964,7.3,1998,sangam,Sangam,2019-12-31,1964,sangam
My Step Dad: The Hippie,2018,5.2,1998,my step dad: the hippie,My Step Dad: The Hippie,2020-10-09,2018,my step dad: the hippie
Social Animals,2018,5.3,1992,social animals,Social Animals,2019-03-19,2018,social animals
Bad Guys,2014,7.7,1992,bad guys,Bad Guys,2019-08-08,2014,bad guys
Marc Maron: Thinky Pain,2013,7.3,1991,marc maron: thinky pain,Marc Maron: Thinky Pain,2018-11-01,2013,marc maron: thinky pain
Ever After High,2013,7.8,1989,ever after high,Ever After High,2020-08-06,2016,ever after high
Super Drags,2018,5.5,1987,super drags,Super Drags,2018-11-09,2018,super drags
Holy Goalie,2017,5.3,1984,holy goalie,Holy Goalie,2018-04-27,2017,holy goalie
John & Yoko: Above Us Only Sky,2018,7.5,1983,john & yoko: above us only sky,John & Yoko: Above Us Only Sky,2019-05-01,2018,john & yoko: above us only sky
Lady Driver,2020,5.8,1981,lady driver,Lady Driver,2020-05-02,2019,lady driver
Khubsoorat,1980,7.6,1980,khubsoorat,Khubsoorat,2019-12-31,1980,khubsoorat
Silver Spoon,2014,7.5,1980,silver spoon,Silver Spoon,2017-09-15,2015,silver spoon
Rilakkuma and Kaoru,2019,8.2,1979,rilakkuma and kaoru,Rilakkuma and Kaoru,2019-04-19,2019,rilakkuma and kaoru
Harriet the Spy: Blog Wars,2010,4.5,1977,harriet the spy: blog wars,Harriet the Spy: Blog Wars,2018-04-15,2010,harriet the spy: blog wars
Top Secret UFO Projects: Declassified,2021,5.6,1977,top secret ufo projects: declassified,Top Secret UFO Projects: Declassified,2021-08-03,2021,top secret ufo projects: declassified
Untamed Romania,2018,8.4,1973,untamed romania,Untamed Romania,2020-02-20,2018,untamed romania
Outlawed,2018,3.7,1971,outlawed,Outlawed,2019-02-15,2018,outlawed
Puerto Ricans in Paris,2015,5.4,1971,puerto ricans in paris,Puerto Ricans in Paris,2020-04-16,2015,puerto ricans in paris
The Last Kids on Earth,2019,7.2,1961,the last kids on earth,The Last Kids on Earth,2020-10-16,2020,the last kids on earth
Headspace Guide to Meditation,2021,8.4,1959,headspace guide to meditation,Headspace Guide to Meditation,2021-01-01,2021,headspace guide to meditation
Demetri Martin: The Overthinker,2018,7.2,1959,demetri martin: the overthinker,Demetri Martin: The Overthinker,2019-07-21,2018,demetri martin: the overthinker
Jimi Hendrix,1973,7.7,1959,jimi hendrix,Jimi Hendrix,2019-11-01,1973,jimi hendrix
Dramaworld,2016,7.3,1956,dramaworld,Dramaworld,2016-05-23,2016,dramaworld
The Break with Michelle Wolf,2018,5.6,1955,the break with michelle wolf,The Break with Michelle Wolf,2018-05-27,2018,the break with michelle wolf
7Seeds,2019,6.3,1955,7seeds,7SEEDS,2020-03-26,2020,7seeds
Hisss,2010,2.9,1955,hisss,Hisss,2017-12-01,2010,hisss
Madam Chief Minister,2021,4.9,1950,madam chief minister,Madam Chief Minister,2021-04-01,2020,madam chief minister
Ari Eldjárn: Pardon My Icelandic,2020,7.8,1949,ari eldjárn: pardon my icelandic,Ari Eldjárn: Pardon My Icelandic,2020-12-02,2020,ari eldjárn: pardon my icelandic
Legendary Weapons of China,1982,6.8,1949,legendary weapons of china,Legendary Weapons of China,2018-08-16,1982,legendary weapons of china
Well-Intended Love,2019,7.1,1945,well-intended love,Well-Intended Love,2020-04-01,2020,well-intended love
Children of the Whales,2017,7.0,1944,children of the whales,Children of the Whales,2018-03-13,2017,children of the whales
Agent,2023,3.6,1943,agent,Agent,2019-12-20,2019,agent
Wrong No.,2015,6.4,1942,wrong no.,Wrong No.,2017-07-01,2015,wrong no.
The Business of Drugs,2020,7.2,1938,the business of drugs,The Business of Drugs,2020-07-14,2020,the business of drugs
Deep,2021,4.9,1937,deep,Deep,2021-07-16,2021,deep
Seoul Searching,2015,6.9,1935,seoul searching,Seoul Searching,2017-12-15,2015,seoul searching
This Is Not What I Expected,2017,6.7,1935,this is not what i expected,This Is Not What I Expected,2017-10-14,2017,this is not what i expected
Gargantia on the Verdurous Planet,2013,7.4,1934,gargantia on the verdurous planet,Gargantia on the Verdurous Planet,2016-12-01,2013,gargantia on the verdurous planet
Barakah Meets Barakah,2016,6.2,1934,barakah meets barakah,Barakah Meets Barakah,2017-10-12,2016,barakah meets barakah
Angela's Christmas Wish,2020,7.1,1934,angela's christmas wish,Angela's Christmas Wish,2020-12-01,2020,angela's christmas wish
Strange Weather,2016,6.0,1932,strange weather,Strange Weather,2017-10-26,2016,strange weather
Killa,2014,7.8,1932,killa,Killa,2017-04-01,2014,killa
Munafik 2,2018,5.6,1931,munafik 2,Munafik 2,2019-05-01,2018,munafik 2
Ho Mann Jahaan,2015,6.9,1929,ho mann jahaan,Ho Mann Jahaan,2017-07-01,2015,ho mann jahaan
Ten Years,2015,6.8,1929,ten years,Ten Years,2019-02-12,2015,ten years
Michelle Wolf: Joke Show,2019,7.3,1928,michelle wolf: joke show,Michelle Wolf: Joke Show,2019-12-10,2019,michelle wolf: joke show
Chef's Table: France,2016,8.2,1925,chef's table: france,Chef's Table: France,2016-09-02,2016,chef's table: france
Backfire,1950,6.5,1923,backfire,Backfire,2019-04-05,2019,backfire
Sacro GRA,2013,6.3,1920,sacro gra,Sacro GRA,2017-03-21,2013,sacro gra
This Changes Everything,2018,7.7,1920,this changes everything,This Changes Everything,2021-07-15,2019,this changes everything
Yellowbird,2014,5.5,1918,yellowbird,Yellowbird,2015-08-05,2014,yellowbird
The Heyday of the Insensitive Bastards,2015,4.4,1918,the heyday of the insensitive bastards,The Heyday of the Insensitive Bastards,2018-02-26,2017,the heyday of the insensitive bastards
Chris D'Elia: No Pain,2020,5.9,1917,chris d'elia: no pain,Chris D'Elia: No Pain,2020-04-14,2020,chris d'elia: no pain
"Ray Romano: Right Here, Around the Corner",2019,7.2,1917,"ray romano: right here, around the corner","Ray Romano: Right Here, Around the Corner",2019-02-05,2019,"ray romano: right here, around the corner"
3 Türken & ein Baby,2015,5.4,1912,3 türken & ein baby,3 Türken & ein Baby,2016-12-15,2015,3 türken & ein baby
Rising Phoenix,2020,8.1,1911,rising phoenix,Rising Phoenix,2020-08-26,2020,rising phoenix
Flimflam,2016,5.5,1910,flimflam,Flimflam,2019-06-13,2016,flimflam
Cops and Robbers,1951,7.7,1909,cops and robbers,Cops and Robbers,2020-12-28,2020,cops and robbers
Christian Mingle,2014,4.2,1907,christian mingle,Christian Mingle,2019-06-06,2014,christian mingle
Jack Whitehall: I'm Only Joking,2020,6.7,1907,jack whitehall: i'm only joking,Jack Whitehall: I'm Only Joking,2020-07-21,2020,jack whitehall: i'm only joking
Expelled from Paradise,2014,6.6,1906,expelled from paradise,Expelled from Paradise,2018-06-25,2014,expelled from paradise
Power Rangers Dino Charge,2015,6.5,1905,power rangers dino charge,Power Rangers Dino Charge,2015-12-02,2015,power rangers dino charge
Waiting,2015,7.1,1904,waiting,Waiting,2018-05-01,2015,waiting
Ajji,2017,6.8,1904,ajji,Ajji,2018-05-01,2017,ajji
Christmas in the Smokies,2015,5.8,1903,christmas in the smokies,Christmas in the Smokies,2019-03-01,2015,christmas in the smokies
Sad Hill Unearthed,2017,7.4,1901,sad hill unearthed,Sad Hill Unearthed,2018-12-15,2017,sad hill unearthed
Historical Roasts,2019,5.4,1901,historical roasts,Historical Roasts,2019-05-27,2019,historical roasts
My Stupid Boss,2016,7.1,1899,my stupid boss,My Stupid Boss,2020-04-23,2016,my stupid boss
Kilometers and Kilometers,2020,6.4,1896,kilometers and kilometers,Kilometers and Kilometers,2021-01-27,2020,kilometers and kilometers
Sarah Cooper: Everything's Fine,2020,5.5,1894,sarah cooper: everything's fine,Sarah Cooper: Everything's Fine,2020-10-27,2020,sarah cooper: everything's fine
Brené Brown: The Call to Courage,2019,7.7,1893,brené brown: the call to courage,Brené Brown: The Call to Courage,2019-04-19,2019,brené brown: the call to courage
Taramani,2017,7.4,1893,taramani,Taramani,2019-01-01,2017,taramani
The Girl from the Song,2017,5.6,1891,the girl from the song,The Girl from the Song,2017-11-24,2016,the girl from the song
Disappearance,2002,5.3,1889,disappearance,Disappearance,2019-03-08,2018,disappearance
Switched,2018,7.1,1883,switched,Switched,2018-08-01,2018,switched
